operation_date,location,operation_id,commander_id,medic_id,team_number
12/30/2022,Russia,2358428,990,590,190
8/7/2012,Mexico,2358429,991,591,191
12/24/2020,China,2358430,992,592,192
4/23/2001,Indonesia,2358431,993,593,193
7/22/2003,Russia,2358432,994,594,194
3/19/2020,China,2358433,995,595,195
5/4/2002,Botswana,2358434,996,596,196
4/5/2020,Gambia,2358435,997,597,197
8/30/2021,Brazil,2358436,998,598,198
5/21/2008,Indonesia,2358437,999,599,199
10/20/2012,Philippines,2358438,1000,600,200
4/7/2018,China,2358439,1001,601,201
8/7/2014,Indonesia,2358440,1002,602,202
9/16/2015,China,2358441,1003,603,203
12/28/2010,Japan,2358442,1004,604,204
2/11/2017,Indonesia,2358443,1005,605,205
11/7/2016,China,2358444,1006,606,206
12/1/2001,Philippines,2358445,1007,607,207
1/28/2012,China,2358446,1008,608,208
12/4/2006,Portugal,2358447,1009,609,209
9/14/2013,Armenia,2358448,1010,610,210
1/5/2002,Brazil,2358449,1011,611,211
3/14/2000,China,2358450,1012,612,212
4/10/2017,Poland,2358451,1013,613,213
12/6/2001,Indonesia,2358452,1014,614,214
6/22/2015,Philippines,2358453,1015,615,215
5/4/2006,Czech Republic,2358454,1016,616,216
12/15/2003,Russia,2358455,1017,617,217
9/28/2021,Portugal,2358456,1018,618,218
4/24/2018,China,2358457,1019,619,219
1/20/2011,Kyrgyzstan,2358458,1020,620,220
8/18/2014,France,2358459,1021,621,221
1/30/2014,China,2358460,1022,622,222
10/19/2014,China,2358461,1023,623,223
10/21/2002,Serbia,2358462,1024,624,224
5/14/2002,Pakistan,2358463,1025,625,225
11/26/2014,Sierra Leone,2358464,1026,626,226
12/4/2005,China,2358465,1027,627,227
7/7/2014,Finland,2358466,1028,628,228
9/5/2013,Sweden,2358467,1029,629,229
10/31/2022,Croatia,2358468,1030,630,230
8/15/2000,Philippines,2358469,1031,631,231
7/21/2001,Poland,2358470,1032,632,232
12/14/2006,Russia,2358471,1033,633,233
7/21/2003,Brazil,2358472,1034,634,234
4/12/2011,China,2358473,1035,635,235
9/24/2008,Oman,2358474,1036,636,236
7/23/2008,China,2358475,1037,637,237
9/17/2011,Macedonia,2358476,1038,638,238
5/1/2003,Tanzania,2358477,1039,639,239
10/5/2005,Mexico,2358478,1040,640,240
7/18/2012,Belize,2358479,1041,641,241
9/3/2014,China,2358480,1042,642,242
12/27/2014,Portugal,2358481,1043,643,243
4/2/2012,Dominican Republic,2358482,1044,644,244
5/14/2018,China,2358483,1045,645,245
2/7/2011,China,2358484,1046,646,246
8/20/2010,United States,2358485,1047,647,247
11/12/2022,Cuba,2358486,1048,648,248
2/17/2016,United States,2358487,1049,649,249
10/3/2004,Sweden,2358488,1050,650,250
7/14/2012,Indonesia,2358489,1051,651,251
12/13/2022,Philippines,2358490,1052,652,252
4/24/2013,Indonesia,2358491,1053,653,253
12/18/2009,Slovenia,2358492,1054,654,254
6/18/2011,China,2358493,1055,655,255
8/30/2005,Philippines,2358494,1056,656,256
10/12/2021,Thailand,2358495,1057,657,257
7/6/2019,Portugal,2358496,1058,658,258
1/12/2016,Canada,2358497,1059,659,259
10/8/2022,Benin,2358498,1060,660,260
9/7/2022,Gambia,2358499,1061,661,261
10/31/2001,Iran,2358500,1062,662,262
9/1/2012,Kenya,2358501,1063,663,263
2/18/2017,China,2358502,1064,664,264
1/1/2015,Indonesia,2358503,1065,665,265
8/1/2013,Brazil,2358504,1066,666,266
5/14/2019,Philippines,2358505,1067,667,267
12/4/2011,Thailand,2358506,1068,668,268
5/12/2001,Philippines,2358507,1069,669,269
9/30/2016,Portugal,2358508,1070,670,270
1/10/2006,France,2358509,1071,671,271
4/19/2009,Philippines,2358510,1072,672,272
12/10/2010,Nigeria,2358511,1073,673,273
3/10/2001,Brazil,2358512,1074,674,274
2/9/2018,Philippines,2358513,1075,675,275
6/25/2000,China,2358514,1076,676,276
7/4/2009,Botswana,2358515,1077,677,277
7/17/2012,Indonesia,2358516,1078,678,278
7/23/2007,Thailand,2358517,1079,679,279
9/25/2005,Bosnia and Herzegovina,2358518,1080,680,280
11/17/2003,Bolivia,2358519,1081,681,281
10/20/2013,China,2358520,1082,682,282
5/18/2013,Myanmar,2358521,1083,683,283
11/8/2015,Greece,2358522,1084,684,284
5/22/2013,United States,2358523,1085,685,285
6/13/2012,Philippines,2358524,1086,686,286
4/18/2005,Russia,2358525,1087,687,287
10/20/2018,China,2358526,1088,688,288
12/18/2003,Panama,2358527,1089,689,289
11/11/2009,Poland,2358528,1090,690,290
12/13/2003,Portugal,2358529,1091,691,291
6/25/2016,South Korea,2358530,1092,692,292
5/26/2022,Argentina,2358531,1093,693,293
1/9/2015,France,2358532,1094,694,294
1/14/2005,Tunisia,2358533,1095,695,295
6/5/2011,France,2358534,1096,696,296
10/13/2001,Cuba,2358535,1097,697,297
10/21/2000,Poland,2358536,1098,698,298
6/1/2009,China,2358537,1099,699,299
12/14/2003,Armenia,2358538,1100,700,300
10/20/2000,Brazil,2358539,1101,701,301
9/9/2009,Afghanistan,2358540,1102,702,302
2/25/2018,Senegal,2358541,1103,703,303
11/19/2009,South Korea,2358542,1104,704,304
1/26/2018,Portugal,2358543,1105,705,305
1/23/2002,Afghanistan,2358544,1106,706,306
9/4/2005,Ukraine,2358545,1107,707,307
1/22/2022,Pakistan,2358546,1108,708,308
7/16/2015,Bangladesh,2358547,1109,709,309
2/27/2022,Indonesia,2358548,1110,710,310
1/23/2001,Spain,2358549,1111,711,311
12/4/2000,Colombia,2358550,1112,712,312
11/30/2002,Afghanistan,2358551,1113,713,313
2/28/2019,Portugal,2358552,1114,714,314
11/5/2008,China,2358553,1115,715,315
9/17/2008,Serbia,2358554,1116,716,316
2/24/2003,Pakistan,2358555,1117,717,317
1/30/2018,China,2358556,1118,718,318
4/3/2001,China,2358557,1119,719,319
12/29/2019,Brazil,2358558,1120,720,320
8/25/2005,Portugal,2358559,1121,721,321
7/16/2015,Ukraine,2358560,1122,722,322
1/17/2005,Portugal,2358561,1123,723,323
9/14/2015,Philippines,2358562,1124,724,324
6/6/2009,China,2358563,1125,725,325
4/22/2022,Japan,2358564,1126,726,326
5/27/2016,China,2358565,1127,727,327
12/4/2022,France,2358566,1128,728,328
1/12/2002,China,2358567,1129,729,329
5/29/2015,United States,2358568,1130,730,330
1/6/2003,Sweden,2358569,1131,731,331
12/22/2001,Peru,2358570,1132,732,332
10/20/2022,Brazil,2358571,1133,733,333
8/2/2004,China,2358572,1134,734,334
11/28/2019,Sweden,2358573,1135,735,335
12/2/2012,Indonesia,2358574,1136,736,336
5/25/2009,China,2358575,1137,737,337
3/11/2016,Tunisia,2358576,1138,738,338
6/21/2014,Tunisia,2358577,1139,739,339
10/16/2021,Tunisia,2358578,1140,740,340
3/31/2013,Indonesia,2358579,1141,741,341
12/25/2003,China,2358580,1142,742,342
3/31/2017,Taiwan,2358581,1143,743,343
2/21/2002,Philippines,2358582,1144,744,344
6/30/2009,Egypt,2358583,1145,745,345
12/16/2021,Russia,2358584,1146,746,346
12/18/2004,Poland,2358585,1147,747,347
10/4/2022,Peru,2358586,1148,748,348
6/19/2011,Bosnia and Herzegovina,2358587,1149,749,349
3/1/2012,Syria,2358588,1150,750,350
4/29/2010,Brazil,2358589,1151,751,351
5/10/2007,Luxembourg,2358590,1152,752,352
4/7/2018,Belarus,2358591,1153,753,353
7/15/2003,China,2358592,1154,754,354
7/14/2018,France,2358593,1155,755,355
9/6/2001,Ireland,2358594,1156,756,356
6/20/2003,Macedonia,2358595,1157,757,357
12/7/2021,Serbia,2358596,1158,758,358
1/17/2013,China,2358597,1159,759,359
10/20/2017,China,2358598,1160,760,360
10/23/2002,Philippines,2358599,1161,761,361
10/1/2010,Belarus,2358600,1162,762,362
5/11/2015,China,2358601,1163,763,363
2/20/2011,Indonesia,2358602,1164,764,364
7/15/2015,China,2358603,1165,765,365
7/9/2001,China,2358604,1166,766,366
7/2/2009,Finland,2358605,1167,767,367
2/18/2017,Portugal,2358606,1168,768,368
4/16/2012,Brazil,2358607,1169,769,369
12/10/2021,Northern Mariana Islands,2358608,1170,770,370
8/28/2011,China,2358609,1171,771,371
11/7/2001,Syria,2358610,1172,772,372
9/15/2008,China,2358611,1173,773,373
1/5/2020,Philippines,2358612,1174,774,374
1/5/2012,United States,2358613,1175,775,375
8/1/2021,Kiribati,2358614,1176,776,376
7/3/2007,Portugal,2358615,1177,777,377
4/15/2012,Sweden,2358616,1178,778,378
2/13/2013,Philippines,2358617,1179,779,379
8/6/2019,Greece,2358618,1180,780,380
12/4/2006,Russia,2358619,1181,781,381
11/18/2012,Ukraine,2358620,1182,782,382
11/21/2009,United States,2358621,1183,783,383
9/12/2011,Denmark,2358622,1184,784,384
7/25/2004,China,2358623,1185,785,385
7/6/2012,Costa Rica,2358624,1186,786,386
8/12/2002,South Korea,2358625,1187,787,387
7/5/2005,Russia,2358626,1188,788,388
1/2/2022,Russia,2358627,1189,789,389
9/8/2008,China,2358628,1190,790,390
6/3/2016,Indonesia,2358629,1191,791,391
10/1/2002,Japan,2358630,1192,792,392
5/22/2012,Iran,2358631,1193,793,393
7/1/2008,Indonesia,2358632,1194,794,394
1/26/2001,Colombia,2358633,1195,795,395
7/13/2020,China,2358634,1196,796,396
6/22/2005,Democratic Republic of the Congo,2358635,1197,797,397
3/29/2016,Russia,2358636,1198,798,398
3/22/2000,United States,2358637,1199,799,399
12/7/2017,China,2358638,1200,800,400
