certified_Rabbi,Payytan,sector,ethnicity,preacher,id
1,1,Haredi-Litai,Edot-Mizrah,0,93
0,1,Religious Zionism,Ashkenazi,1,94
0,0,Religious Zionism,Edot-Mizrah,1,95
0,1,Haredi-Litai,Sphard,0,96
1,0,Haredi-Hasidic,Sphard,0,97
1,1,Haredi-Litai,Ashkenazi,1,98
1,0,Religious Zionism,Edot-Mizrah,0,99
1,1,Haredi-Litai,Sphard,1,100
1,1,Religious Zionism,Ashkenazi,1,101
1,0,Haredi-Litai,Edot-Mizrah,1,102
1,0,Haredi-Hasidic,Sphard,0,103
0,1,Religious Zionism,Ashkenazi,0,104
0,0,Religious Zionism,Sphard,0,105
0,1,Haredi-Litai,Sphard,1,106
1,1,Haredi-Litai,Ashkenazi,0,107
0,1,Religious Zionism,Edot-Mizrah,1,108
0,0,Haredi-Hasidic,Ashkenazi,1,109
1,0,Haredi-Hasidic,Ashkenazi,0,110
0,1,Haredi-Hasidic,Ashkenazi,1,111
0,1,Haredi-Litai,Sphard,0,112
1,0,Haredi-Litai,Sphard,0,113
1,0,Haredi-Litai,Ashkenazi,1,114
0,0,Haredi-Hasidic,Ashkenazi,0,115
1,1,Haredi-Hasidic,Ashkenazi,0,116
0,1,Haredi-Hasidic,Ashkenazi,0,117
1,0,Haredi-Hasidic,Edot-Mizrah,0,118
1,1,Haredi-Litai,Sphard,0,119
1,0,Religious Zionism,Edot-Mizrah,0,120
0,0,Haredi-Litai,Ashkenazi,1,121
0,0,Religious Zionism,Ashkenazi,1,122
0,1,Haredi-Litai,Edot-Mizrah,0,123
0,0,Haredi-Litai,Sphard,1,124
0,1,Haredi-Hasidic,Ashkenazi,0,125
1,1,Haredi-Litai,Edot-Mizrah,0,126
0,0,Religious Zionism,Edot-Mizrah,0,127
1,1,Haredi-Litai,Sphard,0,128
0,0,Haredi-Litai,Sphard,1,129
1,1,Haredi-Litai,Sphard,1,130
0,0,Religious Zionism,Sphard,0,131
1,1,Religious Zionism,Sphard,1,132
1,1,Haredi-Litai,Sphard,1,133
0,1,Haredi-Litai,Sphard,0,134
1,1,Religious Zionism,Sphard,1,135
0,1,Haredi-Hasidic,Edot-Mizrah,1,136
1,1,Religious Zionism,Sphard,0,137
0,1,Religious Zionism,Sphard,1,138
1,1,Haredi-Litai,Edot-Mizrah,0,139
0,0,Religious Zionism,Ashkenazi,1,140
0,1,Haredi-Litai,Edot-Mizrah,1,141
1,0,Haredi-Hasidic,Edot-Mizrah,0,142
1,1,Haredi-Hasidic,Ashkenazi,0,143
1,0,Religious Zionism,Sphard,1,144
1,0,Haredi-Hasidic,Edot-Mizrah,1,145
0,0,Haredi-Hasidic,Ashkenazi,1,146
0,1,Haredi-Hasidic,Ashkenazi,1,147
0,1,Haredi-Litai,Edot-Mizrah,1,148
1,0,Haredi-Litai,Ashkenazi,1,149
1,0,Haredi-Hasidic,Edot-Mizrah,1,150
1,0,Haredi-Litai,Ashkenazi,0,151
0,0,Haredi-Hasidic,Edot-Mizrah,0,152
0,0,Religious Zionism,Sphard,1,153
1,0,Haredi-Litai,Edot-Mizrah,0,154
1,1,Religious Zionism,Ashkenazi,1,155
0,1,Religious Zionism,Sphard,0,156
1,1,Haredi-Hasidic,Sphard,0,157
1,0,Haredi-Litai,Ashkenazi,0,158
1,1,Religious Zionism,Edot-Mizrah,1,159
1,0,Religious Zionism,Edot-Mizrah,1,160
1,0,Haredi-Hasidic,Edot-Mizrah,1,161
0,1,Haredi-Litai,Sphard,0,162
1,1,Religious Zionism,Edot-Mizrah,0,163
1,1,Haredi-Hasidic,Edot-Mizrah,1,164
1,0,Haredi-Litai,Edot-Mizrah,1,165
1,0,Religious Zionism,Sphard,0,166
1,1,Haredi-Hasidic,Ashkenazi,1,167
1,0,Haredi-Litai,Sphard,0,168
0,0,Religious Zionism,Sphard,1,169
1,0,Haredi-Litai,Ashkenazi,1,170
0,0,Haredi-Hasidic,Edot-Mizrah,0,171
1,1,Haredi-Hasidic,Sphard,1,172
1,1,Religious Zionism,Edot-Mizrah,0,173
1,0,Religious Zionism,Edot-Mizrah,0,174
0,1,Religious Zionism,Ashkenazi,1,175
1,1,Haredi-Hasidic,Ashkenazi,1,176
0,0,Haredi-Hasidic,Sphard,0,177
1,1,Haredi-Litai,Sphard,1,178
1,0,Haredi-Hasidic,Sphard,1,179
1,1,Haredi-Hasidic,Edot-Mizrah,1,180
0,0,Haredi-Hasidic,Sphard,1,181
1,0,Haredi-Hasidic,Edot-Mizrah,0,182
0,0,Haredi-Hasidic,Edot-Mizrah,1,183
0,0,Religious Zionism,Ashkenazi,1,184
0,0,Religious Zionism,Ashkenazi,1,185
1,1,Religious Zionism,Ashkenazi,0,186
1,1,Religious Zionism,Sphard,0,187
0,0,Haredi-Hasidic,Ashkenazi,0,188
1,1,Haredi-Hasidic,Sphard,1,189
0,0,Haredi-Hasidic,Ashkenazi,0,190
0,1,Religious Zionism,Ashkenazi,1,191
1,1,Religious Zionism,Ashkenazi,0,192
0,1,Haredi-Litai,Ashkenazi,1,193
0,0,Haredi-Litai,Sphard,0,194
1,0,Haredi-Litai,Sphard,0,195
0,0,Haredi-Hasidic,Sphard,1,196
1,0,Haredi-Hasidic,Ashkenazi,0,197
1,0,Haredi-Hasidic,Edot-Mizrah,1,198
1,1,Haredi-Litai,Edot-Mizrah,1,199
0,0,Haredi-Litai,Ashkenazi,0,200
1,0,Haredi-Hasidic,Sphard,1,201
1,1,Haredi-Hasidic,Ashkenazi,1,202
1,0,Religious Zionism,Sphard,1,203
0,1,Religious Zionism,Edot-Mizrah,0,204
0,0,Religious Zionism,Ashkenazi,1,205
0,0,Haredi-Hasidic,Edot-Mizrah,0,206
0,1,Haredi-Litai,Ashkenazi,0,207
0,0,Haredi-Hasidic,Sphard,1,208
0,0,Religious Zionism,Ashkenazi,0,209
0,0,Haredi-Hasidic,Edot-Mizrah,0,210
1,0,Haredi-Litai,Ashkenazi,1,211
0,1,Haredi-Litai,Edot-Mizrah,0,212
0,1,Haredi-Litai,Sphard,0,213
0,1,Haredi-Litai,Edot-Mizrah,1,214
0,1,Haredi-Hasidic,Edot-Mizrah,0,215
1,1,Haredi-Hasidic,Ashkenazi,1,216
1,0,Haredi-Hasidic,Edot-Mizrah,0,217
0,0,Religious Zionism,Sphard,0,218
0,1,Religious Zionism,Ashkenazi,1,219
0,0,Religious Zionism,Sphard,1,220
1,0,Religious Zionism,Sphard,0,221
0,1,Haredi-Hasidic,Sphard,1,222
1,1,Haredi-Litai,Ashkenazi,1,223
1,1,Haredi-Litai,Sphard,1,224
0,0,Haredi-Hasidic,Sphard,1,225
0,1,Religious Zionism,Ashkenazi,0,226
0,0,Religious Zionism,Ashkenazi,0,227
1,0,Religious Zionism,Ashkenazi,0,228
0,0,Religious Zionism,Sphard,1,229
1,0,Haredi-Hasidic,Sphard,0,230
0,1,Haredi-Hasidic,Edot-Mizrah,1,231
1,1,Haredi-Hasidic,Sphard,0,232
0,1,Haredi-Litai,Sphard,1,233
1,1,Religious Zionism,Sphard,1,234
0,1,Religious Zionism,Ashkenazi,1,235
1,1,Haredi-Hasidic,Ashkenazi,1,236
1,0,Haredi-Litai,Ashkenazi,0,237
1,0,Religious Zionism,Sphard,0,238
0,1,Haredi-Hasidic,Sphard,0,239
0,1,Haredi-Hasidic,Edot-Mizrah,1,240
1,0,Religious Zionism,Ashkenazi,1,241
0,0,Haredi-Litai,Ashkenazi,1,242
0,1,Haredi-Litai,Ashkenazi,1,243
0,0,Religious Zionism,Ashkenazi,0,244
1,0,Religious Zionism,Sphard,0,245
0,0,Haredi-Hasidic,Sphard,0,246
1,1,Haredi-Hasidic,Edot-Mizrah,1,247
0,1,Haredi-Litai,Ashkenazi,1,248
1,1,Haredi-Litai,Sphard,1,249
0,0,Haredi-Litai,Edot-Mizrah,0,250
1,0,Religious Zionism,Edot-Mizrah,1,251
0,1,Haredi-Litai,Edot-Mizrah,0,252
1,0,Religious Zionism,Edot-Mizrah,0,253
0,0,Religious Zionism,Edot-Mizrah,0,254
0,1,Haredi-Litai,Edot-Mizrah,0,255
0,1,Religious Zionism,Edot-Mizrah,1,256
0,1,Haredi-Hasidic,Sphard,1,257
0,0,Haredi-Litai,Edot-Mizrah,0,258
0,0,Haredi-Litai,Sphard,1,259
0,0,Religious Zionism,Sphard,1,260
0,0,Haredi-Hasidic,Edot-Mizrah,1,261
1,0,Haredi-Litai,Sphard,0,262
0,0,Haredi-Litai,Edot-Mizrah,0,263
1,0,Haredi-Litai,Edot-Mizrah,0,264
0,0,Religious Zionism,Edot-Mizrah,0,265
1,1,Haredi-Litai,Ashkenazi,0,266
0,1,Religious Zionism,Edot-Mizrah,0,267
1,0,Haredi-Litai,Ashkenazi,1,268
1,0,Haredi-Litai,Sphard,0,269
0,0,Haredi-Litai,Edot-Mizrah,1,270
0,1,Haredi-Hasidic,Ashkenazi,1,271
0,0,Haredi-Hasidic,Sphard,0,272
0,0,Haredi-Litai,Edot-Mizrah,1,273
1,0,Haredi-Hasidic,Edot-Mizrah,1,274
0,1,Haredi-Litai,Ashkenazi,1,275
0,1,Haredi-Hasidic,Sphard,0,276
1,1,Haredi-Litai,Ashkenazi,1,277
1,0,Haredi-Litai,Ashkenazi,0,278
0,1,Haredi-Hasidic,Ashkenazi,1,279
0,1,Haredi-Litai,Ashkenazi,0,280
0,1,Haredi-Hasidic,Ashkenazi,0,281
1,1,Religious Zionism,Ashkenazi,0,282
1,1,Haredi-Litai,Ashkenazi,1,283
0,1,Haredi-Litai,Edot-Mizrah,1,284
1,1,Haredi-Hasidic,Ashkenazi,0,285
0,1,Haredi-Litai,Edot-Mizrah,1,286
0,1,Haredi-Hasidic,Edot-Mizrah,0,287
1,1,Haredi-Litai,Ashkenazi,1,288
0,1,Haredi-Litai,Sphard,0,289
1,0,Haredi-Hasidic,Sphard,1,290
1,1,Haredi-Litai,Sphard,0,291
0,0,Haredi-Hasidic,Sphard,1,292
0,0,Haredi-Litai,Edot-Mizrah,1,293
0,0,Religious Zionism,Edot-Mizrah,0,294
0,1,Haredi-Litai,Sphard,0,295
0,1,Religious Zionism,Edot-Mizrah,1,296
1,0,Haredi-Hasidic,Ashkenazi,1,297
1,0,Haredi-Litai,Ashkenazi,1,298
1,0,Religious Zionism,Edot-Mizrah,1,299
1,0,Haredi-Litai,Sphard,1,300
0,1,Haredi-Litai,Ashkenazi,0,301
1,0,Haredi-Litai,Sphard,0,302
0,1,Haredi-Litai,Sphard,0,303
1,0,Haredi-Litai,Edot-Mizrah,1,304
1,0,Haredi-Litai,Edot-Mizrah,1,305
1,1,Religious Zionism,Sphard,0,306
0,1,Haredi-Litai,Edot-Mizrah,0,307
0,0,Religious Zionism,Sphard,1,308
1,1,Religious Zionism,Sphard,1,309
1,0,Religious Zionism,Sphard,1,310
0,1,Haredi-Litai,Edot-Mizrah,1,311
0,0,Haredi-Litai,Edot-Mizrah,0,312
0,0,Religious Zionism,Ashkenazi,0,313
0,1,Haredi-Hasidic,Ashkenazi,1,314
0,0,Haredi-Hasidic,Ashkenazi,0,315
1,1,Haredi-Hasidic,Edot-Mizrah,0,316
1,1,Haredi-Hasidic,Sphard,1,317
0,1,Haredi-Litai,Edot-Mizrah,1,318
1,0,Religious Zionism,Sphard,1,319
1,1,Haredi-Litai,Edot-Mizrah,0,320
0,0,Haredi-Litai,Ashkenazi,0,321
0,0,Religious Zionism,Ashkenazi,1,322
1,0,Haredi-Litai,Sphard,1,323
1,1,Haredi-Hasidic,Edot-Mizrah,1,324
0,1,Haredi-Litai,Sphard,0,325
1,1,Religious Zionism,Sphard,1,326
0,0,Haredi-Hasidic,Sphard,1,327
1,0,Haredi-Litai,Edot-Mizrah,1,328
0,1,Religious Zionism,Ashkenazi,1,329
0,0,Haredi-Hasidic,Edot-Mizrah,0,330
0,1,Haredi-Litai,Ashkenazi,0,331
1,0,Haredi-Litai,Edot-Mizrah,1,332
0,0,Haredi-Litai,Ashkenazi,0,333
1,0,Haredi-Litai,Ashkenazi,0,334
1,1,Haredi-Hasidic,Sphard,0,335
0,1,Haredi-Hasidic,Edot-Mizrah,0,336
0,1,Haredi-Litai,Ashkenazi,0,337
0,0,Haredi-Litai,Edot-Mizrah,0,338
0,0,Haredi-Hasidic,Sphard,1,339
0,0,Religious Zionism,Edot-Mizrah,1,340
0,0,Haredi-Hasidic,Sphard,1,341
1,0,Haredi-Hasidic,Sphard,1,342
0,1,Haredi-Litai,Sphard,1,343
1,1,Haredi-Litai,Sphard,1,344
1,0,Haredi-Litai,Sphard,0,345
0,0,Haredi-Litai,Edot-Mizrah,0,346
1,1,Religious Zionism,Edot-Mizrah,0,347
0,1,Haredi-Litai,Sphard,0,348
0,1,Haredi-Hasidic,Edot-Mizrah,0,349
1,1,Haredi-Hasidic,Ashkenazi,1,350
1,0,Religious Zionism,Edot-Mizrah,0,351
0,1,Haredi-Hasidic,Ashkenazi,1,352
0,0,Haredi-Hasidic,Sphard,0,353
0,1,Haredi-Litai,Edot-Mizrah,1,354
1,1,Religious Zionism,Ashkenazi,1,355
1,1,Religious Zionism,Sphard,1,356
1,0,Haredi-Hasidic,Edot-Mizrah,0,357
0,0,Religious Zionism,Ashkenazi,0,358
1,0,Haredi-Litai,Edot-Mizrah,1,359
0,1,Haredi-Litai,Sphard,0,360
0,0,Haredi-Litai,Edot-Mizrah,1,361
0,1,Haredi-Hasidic,Sphard,0,362
1,1,Haredi-Litai,Ashkenazi,0,363
0,1,Haredi-Litai,Ashkenazi,0,364
0,0,Religious Zionism,Sphard,1,365
1,0,Religious Zionism,Sphard,1,366
1,0,Haredi-Hasidic,Edot-Mizrah,1,367
1,0,Religious Zionism,Sphard,0,368
1,0,Religious Zionism,Sphard,0,369
1,0,Haredi-Hasidic,Ashkenazi,0,370
1,1,Haredi-Litai,Sphard,0,371
0,0,Haredi-Hasidic,Sphard,0,372
0,1,Religious Zionism,Ashkenazi,0,373
0,0,Religious Zionism,Sphard,0,374
1,1,Haredi-Litai,Sphard,1,375
1,0,Haredi-Hasidic,Sphard,0,376
0,0,Religious Zionism,Sphard,0,377
0,0,Religious Zionism,Ashkenazi,0,378
1,0,Haredi-Litai,Edot-Mizrah,1,379
0,0,Haredi-Hasidic,Sphard,0,380
0,1,Haredi-Hasidic,Sphard,1,381
1,0,Religious Zionism,Sphard,1,382
1,0,Haredi-Hasidic,Sphard,0,383
1,0,Haredi-Hasidic,Sphard,1,384
0,1,Haredi-Litai,Ashkenazi,0,385
1,0,Religious Zionism,Sphard,0,386
0,0,Haredi-Litai,Edot-Mizrah,1,387
0,1,Haredi-Litai,Ashkenazi,0,388
1,0,Haredi-Hasidic,Sphard,1,389
1,0,Haredi-Litai,Ashkenazi,1,390
1,0,Religious Zionism,Ashkenazi,0,391
0,0,Religious Zionism,Edot-Mizrah,0,392
0,1,Haredi-Litai,Edot-Mizrah,1,393
0,1,Religious Zionism,Ashkenazi,0,394
0,1,Religious Zionism,Sphard,0,395
0,1,Haredi-Hasidic,Ashkenazi,1,396
1,0,Haredi-Hasidic,Edot-Mizrah,0,397
1,1,Haredi-Litai,Edot-Mizrah,0,398
1,0,Haredi-Hasidic,Edot-Mizrah,0,399
0,0,Religious Zionism,Edot-Mizrah,1,400
