responsibility,team_number,id
reconnaissance,345,933
engineer,346,385
scout,347,415
scout,348,874
communications specialist,349,402
marksman,350,1121
demolition expert,351,159
grenadier,352,176
sharpshooter,353,97
demolition expert,354,406
grenadier,355,1094
reconnaissance,356,147
sharpshooter,357,187
communications specialist,358,503
marksman,359,1113
sharpshooter,360,161
communications specialist,361,731
engineer,362,647
communications specialist,363,769
scout,364,275
engineer,365,73
reconnaissance,366,1086
reconnaissance,367,52
grenadier,368,579
marksman,369,1018
engineer,370,521
heavy gunner,371,143
grenadier,372,954
sharpshooter,373,1037
sniper,374,874
reconnaissance,375,492
demolition expert,376,623
reconnaissance,377,1
sharpshooter,378,118
communications specialist,379,536
sniper,380,458
heavy gunner,381,110
engineer,382,1018
heavy gunner,383,510
demolition expert,384,623
grenadier,385,378
demolition expert,386,138
communications specialist,387,524
communications specialist,388,11
sharpshooter,389,205
reconnaissance,390,952
reconnaissance,391,691
sniper,392,1063
grenadier,393,80
sharpshooter,394,370
reconnaissance,395,1073
engineer,396,935
engineer,397,149
demolition expert,398,259
marksman,399,406
sharpshooter,400,808
