nickname,soliders_affection,security_clearance,id
Laney,5,5,938
Keane,2,5,939
Johnathan,5,5,940
Sigvard,2,4,941
Claiborn,2,3,942
Obidiah,7,3,943
Osbourne,6,4,944
Kata,3,4,945
Hermie,3,5,946
Toiboid,7,2,947
John,10,2,948
Sampson,6,5,949
Emmi,7,1,950
Barney,3,4,951
Bealle,4,1,952
Brena,4,3,953
Bink,6,3,954
Rafaelita,9,1,955
Lavena,8,5,956
Allie,6,5,957
Duffie,9,5,958
Eb,2,2,959
Gerhard,4,1,960
Teodoro,9,1,961
Harmonie,4,2,962
Ernaline,1,1,963
Odetta,3,4,964
Archy,1,2,965
Denver,2,1,966
Jaquenette,2,2,967
Elisa,4,1,968
Nora,7,2,969
Ford,8,5,970
Morgan,1,4,971
Mildrid,3,2,972
Culver,5,4,973
Roxane,8,2,974
Elonore,6,2,975
Kessia,3,4,976
Felipe,5,2,977
Carlin,2,1,978
Giff,6,5,979
Jolene,6,2,980
Delphine,10,4,981
Keslie,2,5,982
Curran,4,5,983
Margareta,2,5,984
Fallon,7,3,985
Filberto,8,3,986
Emery,9,2,987
Calv,5,5,988
Helenelizabeth,6,2,989
Ker,9,4,990
Shayne,7,3,991
Sonny,2,4,992
Quinn,10,5,993
Dotty,7,3,994
Aviva,3,5,995
Farah,4,4,996
Viki,8,3,997
Yard,6,4,998
Jarrett,1,4,999
Jamima,7,5,1000
Daphene,3,1,1001
Nannette,1,1,1002
Tasha,10,5,1003
Ash,2,3,1004
Roley,3,5,1005
Loree,10,3,1006
Seward,7,2,1007
Dyane,6,3,1008
Sheeree,2,5,1009
Sullivan,2,3,1010
Queenie,6,3,1011
Orin,6,4,1012
Hadleigh,4,5,1013
Laina,5,1,1014
Dorita,1,5,1015
Ezri,5,1,1016
Josee,4,4,1017
Georgie,1,5,1018
Brnaby,5,3,1019
Rubi,7,2,1020
Bonny,5,1,1021
Carroll,7,1,1022
Sayers,4,4,1023
Jemie,1,3,1024
Joel,8,5,1025
Dorothee,7,2,1026
Renado,6,5,1027
Hewitt,5,3,1028
Catrina,2,3,1029
Mack,2,2,1030
Barbabas,2,1,1031
Emmye,8,3,1032
Gram,10,3,1033
Lianna,1,2,1034
Beck,9,1,1035
Kerstin,10,4,1036
Carey,5,5,1037
Rupert,1,1,1038
Denice,4,5,1039
Alisa,2,2,1040
Guillaume,10,3,1041
Patricio,10,4,1042
Josy,4,3,1043
Pattin,4,4,1044
Hamlen,9,4,1045
Neila,5,4,1046
Patric,4,2,1047
Viole,1,5,1048
Purcell,8,5,1049
Lonny,5,4,1050
Leese,10,3,1051
Emanuele,1,5,1052
Ginny,1,3,1053
Hamel,9,5,1054
Maggie,2,2,1055
Armstrong,7,2,1056
Leshia,7,1,1057
Alyson,6,1,1058
Dodie,4,3,1059
Ammamaria,5,5,1060
Ardyce,4,2,1061
Daveta,3,1,1062
Claude,5,3,1063
Irita,2,5,1064
Poppy,10,1,1065
Larissa,3,1,1066
Willie,9,2,1067
Karoly,10,5,1068
Lynett,8,2,1069
Kylie,1,3,1070
Mabelle,3,5,1071
Colene,6,5,1072
Adrianna,7,3,1073
Ardine,3,4,1074
Donnamarie,6,1,1075
Mathian,2,2,1076
Whitman,9,2,1077
Esta,9,2,1078
Stafford,4,4,1079
Cherrita,5,1,1080
Darrick,5,2,1081
Shurwood,10,5,1082
Shina,10,4,1083
Hector,10,3,1084
Tobey,7,5,1085
Nick,9,5,1086
Brennan,7,1,1087
Asia,6,1,1088
Helen,5,3,1089
Barth,3,1,1090
Shelton,1,1,1091
Celle,3,2,1092
Danya,2,3,1093
Jazmin,10,5,1094
Marguerite,7,2,1095
Iggie,3,2,1096
Rodi,6,2,1097
Kaylil,1,3,1098
Ber,5,2,1099
Tirrell,10,4,1100
Veronike,2,2,1101
Pepe,5,5,1102
Sharl,6,2,1103
Wynn,3,1,1104
Maurizia,8,4,1105
Alwin,8,2,1106
Kath,10,3,1107
Damaris,7,3,1108
Klara,6,3,1109
Emmy,4,5,1110
Twila,5,5,1111
Blane,10,3,1112
Rickie,3,2,1113
Flint,10,2,1114
Georgie,10,5,1115
Lelia,10,4,1116
Cyril,4,1,1117
Darcy,7,3,1118
Ronny,7,5,1119
Shari,9,2,1120
Xylia,2,1,1121
Nevil,9,2,1122
Dita,1,2,1123
Taite,3,1,1124
Janey,6,1,1125
Skipper,6,2,1126
Justino,3,3,1127
Jackquelin,7,1,1128
Alyss,4,1,1129
Starla,1,5,1130
Giustino,10,3,1131
Virgie,1,1,1132
Shellysheldon,6,1,1133
Eran,6,3,1134
Estevan,2,3,1135
Louisette,10,1,1136
Kacie,6,2,1137
Giustina,1,3,1138
Jehanna,7,2,1139
Barclay,5,4,1140
Hugo,6,4,1141
Angy,7,2,1142
Rosalinde,4,1,1143
Valencia,8,4,1144
Brier,9,4,1145
Piotr,4,2,1146
Roxie,6,3,1147
Eberhard,10,4,1148
Blake,6,4,1149
Gibb,7,3,1150
Hester,10,4,1151
Kerk,5,4,1152
Bettina,6,4,1153
Von,7,3,1154
Lesly,5,5,1155
Granger,7,2,1156
Amanda,4,4,1157
Kelcy,10,2,1158
Frederigo,5,4,1159
Rheba,8,1,1160
Parrnell,3,5,1161
Gabriele,5,3,1162
Lauryn,5,1,1163
Farlay,3,1,1164
Lowe,8,2,1165
Alano,1,2,1166
Maddie,7,1,1167
Michel,10,1,1168
Ulric,4,3,1169
Adara,6,5,1170
Antonio,6,4,1171
Jecho,4,4,1172
Yevette,8,5,1173
Selie,8,2,1174
Ansel,5,4,1175
Daffy,6,1,1176
Trula,8,5,1177
Cissy,10,1,1178
Mil,6,4,1179
Arthur,5,4,1180
Michel,9,4,1181
Nannette,7,2,1182
Ricoriki,6,1,1183
Lawton,2,4,1184
Pearline,10,4,1185
Sullivan,1,1,1186
Gib,6,5,1187
Halley,9,4,1188
Kain,2,4,1189
Silvanus,6,2,1190
Myrvyn,4,1,1191
Willie,3,4,1192
Shannen,2,5,1193
Adore,4,5,1194
Meryl,9,2,1195
Hayward,4,5,1196
Hasheem,9,1,1197
Timotheus,7,5,1198
Orlan,6,2,1199
Rudy,7,5,1200
