team_number,name,religious,commander_id
160,Hydrochoerus hydrochaeris,1,960
161,Macaca radiata,0,961
162,Spermophilus parryii,1,962
163,Corvus albicollis,1,963
164,Ninox superciliaris,0,964
165,Nyctea scandiaca,1,965
166,Picoides pubescens,1,966
167,Melursus ursinus,0,967
168,Ninox superciliaris,0,968
169,Sula dactylatra,1,969
170,Laniaurius atrococcineus,1,970
171,unavailable,0,971
172,Castor canadensis,1,972
173,Equus burchelli,0,973
174,Spheniscus mendiculus,1,974
175,Naja haje,0,975
176,Alopex lagopus,1,976
177,Callorhinus ursinus,0,977
178,Kobus leche robertsi,0,978
179,Mycteria ibis,1,979
180,Macaca mulatta,0,980
181,Stenella coeruleoalba,0,981
182,Halcyon smyrnesis,0,982
183,Varanus salvator,1,983
184,Oreamnos americanus,0,984
185,Leptoptilos crumeniferus,1,985
186,Axis axis,0,986
187,Lasiodora parahybana,1,987
188,Lepus arcticus,1,988
189,Crotalus triseriatus,0,989
190,Megaderma spasma,1,990
191,Ara chloroptera,0,991
192,Felis caracal,1,992
193,Damaliscus dorcas,0,993
194,Mazama gouazoubira,1,994
195,Cervus duvauceli,1,995
196,Gyps bengalensis,0,996
197,Spermophilus armatus,1,997
198,Marmota caligata,1,998
199,Oreamnos americanus,0,999
200,Picoides pubescens,0,1000
201,Vombatus ursinus,1,1001
202,Buteo galapagoensis,1,1002
203,Parus atricapillus,1,1003
204,Microcavia australis,0,1004
205,Eumetopias jubatus,0,1005
206,Bison bison,0,1006
207,Phoca vitulina,1,1007
208,Zosterops pallidus,1,1008
209,Crotalus triseriatus,1,1009
210,Platalea leucordia,0,1010
211,Papilio canadensis,0,1011
212,Neotis denhami,1,1012
213,Tragelaphus strepsiceros,0,1013
214,Ardea golieth,0,1014
215,Sitta canadensis,0,1015
216,unavailable,0,1016
217,Varanus albigularis,0,1017
218,Nycticorax nycticorax,0,1018
219,Cereopsis novaehollandiae,1,1019
220,Deroptyus accipitrinus,0,1020
221,Equus burchelli,1,1021
222,Chlidonias leucopterus,1,1022
223,Sagittarius serpentarius,0,1023
224,unavailable,1,1024
225,Gyps bengalensis,0,1025
226,Iguana iguana,0,1026
227,Ovibos moschatus,0,1027
228,Varanus sp.,0,1028
229,Lasiodora parahybana,1,1029
230,Petaurus breviceps,1,1030
231,Naja sp.,0,1031
232,Francolinus swainsonii,0,1032
233,Ciconia episcopus,1,1033
234,Nasua narica,1,1034
235,Mazama gouazoubira,0,1035
236,Lasiorhinus latifrons,1,1036
237,Psophia viridis,0,1037
238,Semnopithecus entellus,0,1038
239,Rhea americana,0,1039
240,Otaria flavescens,0,1040
241,Macaca nemestrina,0,1041
242,Eudyptula minor,1,1042
243,Aegypius tracheliotus,1,1043
244,Ammospermophilus nelsoni,1,1044
245,Psophia viridis,0,1045
246,Camelus dromedarius,1,1046
247,Dusicyon thous,0,1047
248,Melophus lathami,0,1048
249,Smithopsis crassicaudata,1,1049
250,Lasiodora parahybana,0,1050
251,Papio cynocephalus,1,1051
252,Cynictis penicillata,1,1052
253,Pseudalopex gymnocercus,0,1053
254,Rangifer tarandus,1,1054
255,Sarcorhamphus papa,1,1055
256,Phasianus colchicus,0,1056
257,Cercopithecus aethiops,0,1057
258,Bubo sp.,1,1058
259,Callipepla gambelii,0,1059
260,Axis axis,0,1060
261,Mycteria ibis,1,1061
262,Libellula quadrimaculata,1,1062
263,Uraeginthus bengalus,1,1063
264,Macaca mulatta,1,1064
265,Corvus brachyrhynchos,0,1065
266,Ursus americanus,0,1066
267,Crocuta crocuta,1,1067
268,Phalaropus lobatus,0,1068
269,Dendrocygna viduata,0,1069
270,Ctenophorus ornatus,0,1070
271,Eurocephalus anguitimens,0,1071
272,Aonyx cinerea,0,1072
273,Salvadora hexalepis,0,1073
274,Larus dominicanus,0,1074
275,Libellula quadrimaculata,1,1075
276,Pycnonotus nigricans,0,1076
277,Macropus fuliginosus,0,1077
278,Tamiasciurus hudsonicus,1,1078
279,Centrocercus urophasianus,0,1079
280,Mazama americana,1,1080
281,Potorous tridactylus,0,1081
282,Buteo jamaicensis,1,1082
283,unavailable,1,1083
284,Mazama americana,0,1084
285,Crotalus adamanteus,0,1085
286,Ateles paniscus,0,1086
287,Physignathus cocincinus,0,1087
288,Coracias caudata,1,1088
289,Odocoileus hemionus,1,1089
290,Phalacrocorax niger,1,1090
291,Paraxerus cepapi,1,1091
292,Felis rufus,1,1092
293,Tadorna tadorna,1,1093
294,Laniaurius atrococcineus,0,1094
295,Philetairus socius,0,1095
296,Macropus giganteus,0,1096
297,Ceratotherium simum,1,1097
298,Dusicyon thous,1,1098
299,Alouatta seniculus,1,1099
300,Anthropoides paradisea,1,1100
301,Connochaetus taurinus,1,1101
302,Lamprotornis nitens,0,1102
303,Lepus arcticus,0,1103
304,Odocoileus hemionus,0,1104
305,Pterocles gutturalis,1,1105
306,Dusicyon thous,1,1106
307,Sciurus niger,0,1107
308,Mycteria leucocephala,0,1108
309,Castor canadensis,1,1109
310,Cebus albifrons,0,1110
311,Eremophila alpestris,1,1111
312,Pteropus rufus,1,1112
313,Sciurus vulgaris,1,1113
314,Centrocercus urophasianus,0,1114
315,Chionis alba,1,1115
316,Morelia spilotes variegata,0,1116
317,Diceros bicornis,1,1117
318,Cervus duvauceli,0,1118
319,Ictonyx striatus,1,1119
320,Panthera leo persica,1,1120
321,Alligator mississippiensis,0,1121
322,Nesomimus trifasciatus,1,1122
323,Lycosa godeffroyi,0,1123
324,Haliaetus leucogaster,0,1124
325,Climacteris melanura,1,1125
326,Acanthaster planci,1,1126
327,Tragelaphus angasi,1,1127
328,Mustela nigripes,0,1128
329,Phalacrocorax carbo,1,1129
330,Phalaropus fulicarius,1,1130
331,Ephipplorhynchus senegalensis,0,1131
332,Eumetopias jubatus,1,1132
333,Panthera pardus,1,1133
334,Coluber constrictor,1,1134
335,Melursus ursinus,1,1135
336,Sarkidornis melanotos,0,1136
337,Hyaena hyaena,1,1137
338,unavailable,0,1138
339,Ninox superciliaris,0,1139
340,Helogale undulata,0,1140
341,Anser caerulescens,1,1141
342,Tachybaptus ruficollis,0,1142
343,Cebus nigrivittatus,0,1143
344,Gymnorhina tibicen,0,1144
345,Graspus graspus,1,1145
346,Dasyprocta leporina,0,1146
347,Naja haje,0,1147
348,Eolophus roseicapillus,1,1148
349,Sciurus vulgaris,1,1149
350,Ratufa indica,0,1150
351,Funambulus pennati,0,1151
352,Ursus arctos,1,1152
353,Toxostoma curvirostre,1,1153
354,Mycteria ibis,0,1154
355,Marmota flaviventris,0,1155
356,Galago crassicaudataus,1,1156
357,Macaca fuscata,1,1157
358,Spheniscus magellanicus,1,1158
359,Oxybelis sp.,0,1159
360,Pseudocheirus peregrinus,0,1160
361,Varanus albigularis,0,1161
362,Mazama gouazoubira,0,1162
363,Alouatta seniculus,0,1163
364,Laniarius ferrugineus,1,1164
365,Geococcyx californianus,0,1165
366,Columba palumbus,1,1166
367,Dasyurus viverrinus,0,1167
368,Snycerus caffer,0,1168
369,Diomedea irrorata,1,1169
370,Struthio camelus,1,1170
371,Rana sp.,1,1171
372,Equus burchelli,0,1172
373,Cracticus nigroagularis,1,1173
374,Gymnorhina tibicen,0,1174
375,Lamprotornis chalybaeus,0,1175
376,Columba livia,0,1176
377,Mungos mungo,0,1177
378,Casmerodius albus,1,1178
379,Spermophilus tridecemlineatus,0,1179
380,Neotis denhami,0,1180
381,Sylvicapra grimma,1,1181
382,Kobus leche robertsi,0,1182
383,Spermophilus armatus,0,1183
384,Funambulus pennati,0,1184
385,Gyps bengalensis,0,1185
386,Chordeiles minor,1,1186
387,Vombatus ursinus,1,1187
388,Coluber constrictor,0,1188
389,Lamprotornis nitens,0,1189
390,Manouria emys,1,1190
391,Francolinus coqui,1,1191
392,Ursus americanus,1,1192
393,Speotyte cuniculata,1,1193
394,Macropus parryi,0,1194
395,unavailable,1,1195
396,Leptoptilus dubius,1,1196
397,Mungos mungo,0,1197
398,Ovibos moschatus,1,1198
399,Platalea leucordia,1,1199
400,Terathopius ecaudatus,0,1200
